datetime,temp,humidity,windspeed,sealevelpressure,cloudcover,humidity_roll1h,cloudcover_roll1h,rain_next_1h,precip,windspeed_kph,precip_mm_per_hour,wind_baseline,cloud_baseline,precip_baseline
2015-07-23 8:15:00,75.5,92.45,2.2,1012.7,30.1,91.10375,74.2,1,0.236,3.5405480000000003,1.4986,Light Winds,Partly Cloudy,Moderate Rains
2015-07-24 20:15:00,78.5,91.44,8.1,1012.1,60.0,86.87625,89.85,1,0.219,13.035654,1.39065,Light Winds,Partly Cloudy,Moderate Rains
2015-07-26 14:15:00,90.8,54.07,2.2,1010.9,60.0,57.23125,81.675,1,0.197,3.5405480000000003,1.25095,Light Winds,Partly Cloudy,Moderate Rains
2015-07-28 14:15:00,88.1,66.01,4.5,1011.1,80.0,59.91625,41.375,1,0.118,7.24203,0.7493,Light Winds,Mostly Cloudy,Moderate Rains
2015-07-30 20:15:00,79.4,91.47,2.6,1010.2,90.0,83.55,89.175,1,0.236,4.184284,1.4986,Light Winds,Overcast,Moderate Rains
2015-07-31 17:15:00,92.6,46.64,2.2,1007.2,50.1,50.03,50.55,1,0.118,3.5405480000000003,0.7493,Light Winds,Partly Cloudy,Moderate Rains
2015-08-01 14:15:00,89.7,57.3,2.2,1008.4,90.0,57.8775,89.175,1,0.157,3.5405480000000003,0.99695,Light Winds,Overcast,Moderate Rains
2015-08-05 23:15:00,80.0,94.24,4.5,1005.0,60.1,90.46375,53.05,1,0.118,7.24203,0.7493,Light Winds,Partly Cloudy,Moderate Rains
2015-08-06 20:15:00,80.7,87.78,2.2,1003.2,80.0,86.43375,86.9,1,0.103,3.5405480000000003,0.6540499999999999,Light Winds,Mostly Cloudy,Moderate Rains
2015-08-09 11:15:00,81.8,81.3,2.2,1007.6,100.0,82.30125,100.0,1,0.118,3.5405480000000003,0.7493,Light Winds,Overcast,Moderate Rains
2015-08-09 14:15:00,80.7,87.8,2.2,1006.1,100.0,92.375,100.0,1,0.118,3.5405480000000003,0.7493,Light Winds,Overcast,Moderate Rains
2015-08-09 20:15:00,79.4,93.14,4.5,1007.9,100.0,95.7125,100.0,1,0.118,7.24203,0.7493,Light Winds,Overcast,Moderate Rains
2015-08-10 5:15:00,78.2,97.07,5.9,1008.3,100.0,98.16875,91.9,1,0.236,9.495106,1.4986,Light Winds,Overcast,Moderate Rains
2015-08-13 17:15:00,81.2,94.27,2.2,1008.2,100.0,85.31875,91.675,1,0.236,3.5405480000000003,1.4986,Light Winds,Overcast,Moderate Rains
2015-08-13 20:15:00,80.7,90.44,2.2,1009.9,80.0,91.7975,86.675,1,0.197,3.5405480000000003,1.25095,Light Winds,Mostly Cloudy,Moderate Rains
2015-08-15 17:15:00,89.3,67.76,4.5,1008.8,80.0,71.93375,58.025,1,0.197,7.24203,1.25095,Light Winds,Mostly Cloudy,Moderate Rains
2015-08-20 11:15:00,84.3,67.22,4.5,1006.0,100.0,69.905,91.9,1,0.157,7.24203,0.99695,Light Winds,Overcast,Moderate Rains
2015-08-20 14:15:00,78.5,86.12,6.7,1004.4,100.0,90.99125,100.0,1,0.118,10.782578,0.7493,Light Winds,Overcast,Moderate Rains
2015-08-20 20:15:00,79.4,87.2,2.3,1004.7,80.0,85.9175,95.0,1,0.236,3.7014819999999995,1.4986,Light Winds,Mostly Cloudy,Moderate Rains
2015-08-21 2:15:00,79.4,92.58,4.5,1002.7,90.0,85.675,97.5,1,0.212,7.24203,1.3461999999999998,Light Winds,Overcast,Moderate Rains
